City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Bredasdorp,ZA,-34.5322,20.0403,43.92,81,79,8.05,broken clouds
148,Boyolangu,ID,-8.1181,111.8935,74.8,81,93,6.31,overcast clouds
149,Tuatapere,NZ,-46.1333,167.6833,46.81,72,80,1.99,broken clouds
150,Atambua,ID,-9.1061,124.8925,76.35,60,100,4.9,overcast clouds
151,Vega De Alatorre,MX,20.0333,-96.6333,79.75,70,100,4.63,overcast clouds
152,Povenets,RU,62.8487,34.8262,65.57,70,90,1.19,overcast clouds
153,Esperance,AU,-33.8667,121.9,49.84,70,66,33.6,light rain
154,Katobu,ID,-4.9408,122.5276,76.28,84,99,1.03,overcast clouds
155,Moose Factory,CA,51.2585,-80.6094,59.92,53,77,5.46,broken clouds
156,Telfs,AT,47.3,11.0667,57.36,86,25,4.14,scattered clouds
157,Paralimni,CY,35.0375,33.9833,81.09,64,0,6.93,clear sky
158,Port Macquarie,AU,-31.4333,152.9167,57.16,65,58,7.23,broken clouds
159,Rocha,UY,-34.4833,-54.3333,52.02,98,100,6.51,moderate rain
160,Xichang,CN,27.8964,102.2634,69.62,89,100,1.68,moderate rain
161,Hamilton,US,39.1834,-84.5333,83.59,70,40,4.61,scattered clouds
162,Necochea,AR,-38.5473,-58.7368,42.04,70,97,9.17,overcast clouds
163,Kahului,US,20.8947,-156.47,88.54,70,40,26.46,scattered clouds
164,Victoria,HK,22.2855,114.1577,90.25,78,11,1.99,few clouds
165,Atar,MR,20.5169,-13.0499,92.86,27,1,13.53,clear sky
166,Johnson City,US,36.3134,-82.3535,80.24,70,1,4.61,clear sky
167,Sinnamary,GF,5.3833,-52.95,78.03,84,74,8.59,broken clouds
168,Kikwit,CD,-5.041,18.8162,70.47,26,15,1.59,few clouds
169,Yellowknife,CA,62.456,-114.3525,74.32,50,100,5.99,overcast clouds
170,Plouzane,FR,48.3833,-4.6167,59.18,94,90,6.91,overcast clouds
171,General Roca,AR,-39.0333,-67.5833,52.2,47,20,14.99,few clouds
172,Ancud,CL,-41.8697,-73.8203,46.22,79,78,4.97,broken clouds
173,Ahipara,NZ,-35.1667,173.1667,56.88,58,7,6.98,clear sky
174,Samfya,ZM,-11.3649,29.5565,59.63,61,3,8.03,clear sky
175,Auch,FR,43.65,0.5833,62.51,97,65,6.71,broken clouds
176,Denpasar,ID,-8.65,115.2167,80.26,78,40,10.36,scattered clouds
177,Evensk,RU,61.95,159.2333,56.08,92,100,15.14,moderate rain
