City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,The Valley,AI,81.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
386,Marakkanam,IN,80.67,light rain,12.2,79.95,OYO 73765 Ocean Breeze Guest House
390,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
391,Bhadohi,IN,84.2,scattered clouds,25.4167,82.5667,Hotel Glory- Classic Restaurant
393,Golden,US,75.07,thunderstorm,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
396,Miracema Do Tocantins,BR,77.97,clear sky,-9.5618,-48.3967,Miami Apart Hotel
397,Shizuishan,CN,83.91,broken clouds,39.2333,106.7694,Xingji Hotel
404,Dewa,IN,84.2,broken clouds,27.0333,81.1667,Al-madina Guest House
406,Jorochito,BO,74.93,clear sky,-18.05,-63.4333,Tom´s Hauss
412,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
415,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
416,Shangzhi,CN,82.45,overcast clouds,45.2167,127.9667,Ocean Zhixing Business Clubhouse
417,Praia Da Vitoria,PT,70.75,broken clouds,38.7333,-27.0667,Hotel Branco I
419,Shahr-E Babak,IR,77.43,broken clouds,30.1165,55.1186,Duna Ecolodge
420,Kudahuvadhoo,MV,81.95,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
421,Chandla,IN,88.21,scattered clouds,25.0833,80.2,Rest House
422,Dayong,CN,83.88,scattered clouds,25.0209,118.2898,Haiyue Express Hotel
424,Jacareacanga,BR,78.55,clear sky,-6.2222,-57.7528,Casa do Ian😎
426,New Waterford,US,80.47,broken clouds,40.8451,-80.6145,Pleasant Valley Mobile Home
427,Houston,US,85.95,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
429,Vanimo,PG,84.18,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
434,Bombo,ID,76.89,broken clouds,-8.6131,119.0131,Losmen Mustika
435,Ashland,US,79.83,scattered clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
436,Smithers,CA,75.47,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
442,Douentza,ML,81.72,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
444,North Myrtle Beach,US,83.37,clear sky,33.816,-78.68,Avista Resort
